epoch,accuracy,loss,val_accuracy,val_loss
0,0.7099809050559998,0.59315025806427,0.7351012825965881,0.5399069786071777
1,0.7886424660682678,0.4693353474140167,0.7677294611930847,0.5050334930419922
2,0.8157525658607483,0.42377427220344543,0.802592396736145,0.46222424507141113
3,0.8313429951667786,0.3934447467327118,0.8118295669555664,0.463757187128067
4,0.8450922966003418,0.3643379509449005,0.8061680793762207,0.46064913272857666
5,0.8579463958740234,0.3362902104854584,0.839690089225769,0.37896066904067993
6,0.8698714375495911,0.3107607364654541,0.8425208330154419,0.3824215233325958
7,0.8801243305206299,0.2861056923866272,0.7909713983535767,0.47445228695869446
8,0.8926236629486084,0.26279887557029724,0.8063170313835144,0.45275676250457764
9,0.9020995497703552,0.2406913936138153,0.8444576859474182,0.35283440351486206
10,0.9104943871498108,0.22039885818958282,0.7957389950752258,0.4875021278858185
11,0.913838803768158,0.21129630506038666,0.8146603107452393,0.4751411974430084
12,0.9227235317230225,0.19487258791923523,0.7978248000144958,0.5233659148216248
13,0.9282131195068359,0.18263542652130127,0.7911204099655151,0.5227536559104919
14,0.9304764866828918,0.17716634273529053,0.7966328859329224,0.5177528858184814
15,0.9342769980430603,0.1661640852689743,0.8143623471260071,0.5970020890235901
16,0.9387699961662292,0.15769889950752258,0.8098927140235901,0.5200823545455933
17,0.9422833323478699,0.1503393054008484,0.8094457983970642,0.5351595878601074
18,0.9454250335693359,0.14121724665164948,0.7888855934143066,0.619763970375061
19,0.947029709815979,0.13925696909427643,0.8078069090843201,0.5916144251823425
20,0.9486343860626221,0.13324373960494995,0.8177890181541443,0.5298077464103699
21,0.9495464563369751,0.12997250258922577,0.7993146777153015,0.5987602472305298
22,0.9534989595413208,0.1240394115447998,0.8127234578132629,0.5236147046089172
23,0.9535496234893799,0.121552012860775,0.7887365818023682,0.6000921130180359
24,0.9549685120582581,0.11721546202898026,0.80363529920578,0.6040706634521484
25,0.9565731287002563,0.11497677862644196,0.7906734347343445,0.7206256985664368
26,0.9590899348258972,0.10996492952108383,0.8095947504043579,0.6118946075439453
27,0.9585493803024292,0.10960529744625092,0.8110846281051636,0.6187783479690552
28,0.9599344730377197,0.10582023859024048,0.7912693619728088,0.8493938446044922
29,0.9610154628753662,0.10409761220216751,0.7990167140960693,0.7384941577911377
