Epoch,Loss,Accuracy,Recall,Specificity,Precision,F1,AUC
0,0.7231120824813843,0.5066666666666667,0.19047619047619047,0.9090909090909091,0.7272727272727273,0.3018867924528302,0.5497835497835498
1,5.9723216152191165,0.49333333333333335,0.8095238095238095,0.09090909090909091,0.53125,0.6415094339622642,0.45021645021645024
2,0.749961093266805,0.5066666666666667,0.19047619047619047,0.9090909090909091,0.7272727272727273,0.3018867924528302,0.5497835497835498
3,1.2468257109324137,0.52,0.8333333333333334,0.12121212121212122,0.546875,0.660377358490566,0.4772727272727273
4,0.7502149415016174,0.56,1.0,0.0,0.56,0.717948717948718,0.5
5,0.7400141906738281,0.56,1.0,0.0,0.56,0.717948717948718,0.5
6,0.6827999146779379,0.6266666666666667,0.8809523809523809,0.30303030303030304,0.6166666666666667,0.7254901960784315,0.591991341991342
7,10.433697836399078,0.44,0.0,1.0,0.0,0.0,0.5
8,1.2660565837224325,0.44,0.0,1.0,0.0,0.0,0.5
9,0.685056578318278,0.56,1.0,0.0,0.56,0.717948717948718,0.5
10,1.1727958909670513,0.56,1.0,0.0,0.56,0.717948717948718,0.5
11,0.9644288015365601,0.4666666666666667,0.7857142857142857,0.06060606060606061,0.515625,0.6226415094339622,0.4231601731601731
12,0.7497780648867289,0.56,1.0,0.0,0.56,0.717948717948718,0.5
13,0.7293588050206502,0.56,1.0,0.0,0.56,0.717948717948718,0.5
14,0.6925483345985413,0.56,1.0,0.0,0.56,0.717948717948718,0.5
15,0.6886636519432068,0.5333333333333333,0.9523809523809523,0.0,0.547945205479452,0.6956521739130435,0.47619047619047616
16,0.6893951265017192,0.56,1.0,0.0,0.56,0.717948717948718,0.5
17,0.7017677720387777,0.56,1.0,0.0,0.56,0.717948717948718,0.5
18,0.6944156130154927,0.49333333333333335,0.42857142857142855,0.5757575757575758,0.5625,0.4864864864864864,0.5021645021645021
19,0.698783213297526,0.5066666666666667,0.21428571428571427,0.8787878787878788,0.6923076923076923,0.32727272727272727,0.5465367965367965
20,0.6983000874519348,0.4266666666666667,0.5,0.3333333333333333,0.4883720930232558,0.4941176470588235,0.41666666666666663
21,0.6861957772572835,0.5466666666666666,0.8333333333333334,0.18181818181818182,0.5645161290322581,0.6730769230769231,0.5075757575757576
22,0.6856466714541117,0.5733333333333334,1.0,0.030303030303030304,0.5675675675675675,0.7241379310344828,0.5151515151515151
23,0.6947918192545572,0.5466666666666666,0.9761904761904762,0.0,0.5540540540540541,0.706896551724138,0.4880952380952381
24,0.6951752463976543,0.5466666666666666,0.8809523809523809,0.12121212121212122,0.5606060606060606,0.6851851851851851,0.5010822510822511
